Distance(mi),['Temperature(F)'],0.5395,0.0188,0.0188,2,Distance(mi) ~ (Temperature(F))
Distance(mi),['WindChill(F)'],0.5388,0.0213,0.0213,2,Distance(mi) ~ (WindChill(F))
Distance(mi),['Pressure(in)'],0.5417,0.0106,0.0106,2,Distance(mi) ~ (Pressure(in))
Distance(mi),['Humidity(%)'],0.5406,0.0149,0.0149,2,Distance(mi) ~ (Humidity(%))
Distance(mi),['WindSpeed(mph)'],0.5439,0.0027,0.0027,2,Distance(mi) ~ (WindSpeed(mph))
Distance(mi),['Visibility(mi)'],0.5341,0.0382,0.0382,2,Distance(mi) ~ (Visibility(mi))
Distance(mi),['GoodWeather'],0.5394,0.0192,0.0192,2,Distance(mi) ~ (GoodWeather)
Distance(mi),['BadWeather'],0.5358,0.0323,0.0323,2,Distance(mi) ~ (BadWeather)
Distance(mi),['NeutralWeather'],0.5446,0.0000,0.0000,2,Distance(mi) ~ (NeutralWeather)
Distance(mi),"['Temperature(F)', 'WindChill(F)']",0.5373,0.0266,0.0266,3,Distance(mi) ~ (Temperature(F) + WindChill(F))
Distance(mi),"['Temperature(F)', 'Pressure(in)']",0.5370,0.0279,0.0279,3,Distance(mi) ~ (Temperature(F) + Pressure(in))
Distance(mi),"['Temperature(F)', 'Humidity(%)']",0.5381,0.0240,0.0240,3,Distance(mi) ~ (Temperature(F) + Humidity(%))
Distance(mi),"['Temperature(F)', 'WindSpeed(mph)']",0.5392,0.0199,0.0199,3,Distance(mi) ~ (Temperature(F) + WindSpeed(mph))
Distance(mi),"['Temperature(F)', 'Visibility(mi)']",0.5331,0.0419,0.0419,3,Distance(mi) ~ (Temperature(F) + Visibility(mi))
Distance(mi),"['Temperature(F)', 'GoodWeather']",0.5374,0.0265,0.0265,3,Distance(mi) ~ (Temperature(F) + GoodWeather)
Distance(mi),"['Temperature(F)', 'BadWeather']",0.5343,0.0377,0.0377,3,Distance(mi) ~ (Temperature(F) + BadWeather)
Distance(mi),"['Temperature(F)', 'NeutralWeather']",0.5393,0.0195,0.0195,3,Distance(mi) ~ (Temperature(F) + NeutralWeather)
Distance(mi),"['WindChill(F)', 'Pressure(in)']",0.5363,0.0303,0.0303,3,Distance(mi) ~ (WindChill(F) + Pressure(in))
Distance(mi),"['WindChill(F)', 'Humidity(%)']",0.5375,0.0261,0.0261,3,Distance(mi) ~ (WindChill(F) + Humidity(%))
Distance(mi),"['WindChill(F)', 'WindSpeed(mph)']",0.5387,0.0218,0.0218,3,Distance(mi) ~ (WindChill(F) + WindSpeed(mph))
Distance(mi),"['WindChill(F)', 'Visibility(mi)']",0.5328,0.0429,0.0429,3,Distance(mi) ~ (WindChill(F) + Visibility(mi))
Distance(mi),"['WindChill(F)', 'GoodWeather']",0.5369,0.0281,0.0281,3,Distance(mi) ~ (WindChill(F) + GoodWeather)
Distance(mi),"['WindChill(F)', 'BadWeather']",0.5340,0.0388,0.0388,3,Distance(mi) ~ (WindChill(F) + BadWeather)
Distance(mi),"['WindChill(F)', 'NeutralWeather']",0.5386,0.0220,0.0220,3,Distance(mi) ~ (WindChill(F) + NeutralWeather)
Distance(mi),"['Pressure(in)', 'Humidity(%)']",0.5373,0.0266,0.0266,3,Distance(mi) ~ (Pressure(in) + Humidity(%))
Distance(mi),"['Pressure(in)', 'WindSpeed(mph)']",0.5411,0.0130,0.0130,3,Distance(mi) ~ (Pressure(in) + WindSpeed(mph))
Distance(mi),"['Pressure(in)', 'Visibility(mi)']",0.5319,0.0463,0.0463,3,Distance(mi) ~ (Pressure(in) + Visibility(mi))
Distance(mi),"['Pressure(in)', 'GoodWeather']",0.5369,0.0282,0.0282,3,Distance(mi) ~ (Pressure(in) + GoodWeather)
Distance(mi),"['Pressure(in)', 'BadWeather']",0.5336,0.0400,0.0400,3,Distance(mi) ~ (Pressure(in) + BadWeather)
Distance(mi),"['Pressure(in)', 'NeutralWeather']",0.5417,0.0107,0.0107,3,Distance(mi) ~ (Pressure(in) + NeutralWeather)
Distance(mi),"['Humidity(%)', 'WindSpeed(mph)']",0.5396,0.0184,0.0184,3,Distance(mi) ~ (Humidity(%) + WindSpeed(mph))
Distance(mi),"['Humidity(%)', 'Visibility(mi)']",0.5340,0.0388,0.0388,3,Distance(mi) ~ (Humidity(%) + Visibility(mi))
Distance(mi),"['Humidity(%)', 'GoodWeather']",0.5386,0.0220,0.0220,3,Distance(mi) ~ (Humidity(%) + GoodWeather)
Distance(mi),"['Humidity(%)', 'BadWeather']",0.5353,0.0340,0.0340,3,Distance(mi) ~ (Humidity(%) + BadWeather)
Distance(mi),"['Humidity(%)', 'NeutralWeather']",0.5402,0.0161,0.0161,3,Distance(mi) ~ (Humidity(%) + NeutralWeather)
Distance(mi),"['WindSpeed(mph)', 'Visibility(mi)']",0.5339,0.0391,0.0391,3,Distance(mi) ~ (WindSpeed(mph) + Visibility(mi))
Distance(mi),"['WindSpeed(mph)', 'GoodWeather']",0.5390,0.0205,0.0205,3,Distance(mi) ~ (WindSpeed(mph) + GoodWeather)
Distance(mi),"['WindSpeed(mph)', 'BadWeather']",0.5356,0.0328,0.0328,3,Distance(mi) ~ (WindSpeed(mph) + BadWeather)
Distance(mi),"['WindSpeed(mph)', 'NeutralWeather']",0.5439,0.0027,0.0027,3,Distance(mi) ~ (WindSpeed(mph) + NeutralWeather)
